id,name,semi_year_id
1iqfvttr8-jfpu1b,1A1,1iqfsl8hb-md63i5
1iqfvttr8-fk3nr9,1A2,1iqfsl8hb-md63i5
1iqfvttr8-44a9a7,1A3,1iqfsl8hb-md63i5
1iqfvttr8-59hvsp,1A4,1iqfsl8hb-md63i5
1iqfvttr8-d67r07,1A5,1iqfsl8hb-md63i5
1iqfvttr8-1copfon,1B1,1iqfsl8hb-pecjsd
1iqfvttr8-15e5bef,1B2,1iqfsl8hb-pecjsd
1iqfvttr8-hg884d,1B3,1iqfsl8hb-pecjsd
1iqfvttr8-17p0hmh,1B4,1iqfsl8hb-pecjsd
1iqfvttol-8veiu6,1E1,1iqfsl8hb-1drjj22
1iqfvttol-8h9tce,1E2,1iqfsl8hb-1drjj22
1iqfvttol-2262a2,1E3,1iqfsl8hb-1drjj22
1iqfvttqp-1f2ovpt,2A1,1iqfsl8hb-i5e00j
1iqfvttqq-um5f75,2A2,1iqfsl8hb-i5e00j
1iqfvttqq-118651i,2A3,1iqfsl8hb-i5e00j
1iqfvttqq-eiovq9,2A4,1iqfsl8hb-i5e00j
1iqfvttqp-68b5ue,2A5,1iqfsl8hb-i5e00j
1iqfvttqq-1p49qdg,2B1,1iqfsl8hb-107rmcg
1iqfvttqq-1g1gb9q,2B2,1iqfsl8hb-107rmcg
1iqfvttqq-3mklb,2B3,1iqfsl8hb-107rmcg
1iqfvttqp-5chb77,2B4,1iqfsl8hb-107rmcg
1iqfvtthl-1ee8brc,2E1,1iqfsl8hb-h0ugms
1iqfvtthl-n2u0j4,2E2,1iqfsl8hb-h0ugms
1iqfvtthk-1pjuao3,2E3,1iqfsl8hb-h0ugms
1iqfvtu1v-dioht1,2X1,1iqfsl8hb-i4pd9a
1iqfvtu20-1dqfh1q,2X2,1iqfsl8hb-i4pd9a
1iqfvttpn-1tdqv0f,3A1,1iqfsl8hb-1jdvmt1
1iqfvttpo-1sdk9mf,3A2,1iqfsl8hb-1jdvmt1
1iqfvttpo-jn1ngj,3A3,1iqfsl8hb-1jdvmt1
1iqfvttpo-igb6fc,3A4,1iqfsl8hb-1jdvmt1
1iqfvttpn-4n0em6,3A5,1iqfsl8hb-1jdvmt1
1iqfvttpn-1d7j745,3B1,1iqfsl8hb-n0orgf
1iqfvttpn-1sqg9uk,3B2,1iqfsl8hb-n0orgf
1iqfvttpo-lvbog3,3B3,1iqfsl8hb-n0orgf
1iqfvttpo-i3ps0t,3B4,1iqfsl8hb-n0orgf
1iqfvttpi-ljgjes,3E1,1iqfsl8hb-1r2iif5
1iqfvttpi-4esnl4,3E2,1iqfsl8hb-1r2iif5
1iqfvttpi-8ho2k1,3E3,1iqfsl8hb-1r2iif5
1iqfvttoo-13uhsm,1IAO,1iqfsl8hb-qe5pn3
1iqfvttqs-2j2kfs,2IAO,1iqfsl8hb-1ojngh7
1iqfvttp0-3coq3f,1ISS,1iqfsl8hb-1oihq6b
1iqfvttqs-1vhdt5u,2ISS,1iqfsl8hb-1t5u5t0
1iqg06cua-194eii1,1LC,1iqfsl8hb-15tddc0
1iqfvttqs-orkvmr,2LC,1iqfsl8hb-u1m36s
1iqfvttpg-qpa9eu,1SAI,1iqfsl8hb-p7haru
1iqfvttvf-70g3o4,2SAI,1iqfsl8hb-1878rof
1iqfvttoo-1rqt1qv,1SD,1iqfsl8hb-28fukc
1iqfvttqs-1jvikfp,2SD,1iqfsl8hb-njah4q
1iqfvtu04-13a8hr1,1SI,1iqfsl8hb-mfcb7
1iqfvttqs-1s3ud45,2SI,1iqfsl8hb-12nvs83
